fecha,nombre_combustible,nombre_unidad_medida,nombre_central,precio_vinculante_combustibles,fuente,observaciones
01/01/2026,Gas Natural,GJ,CC Noreste,50.090568,,
02/01/2026,Gas Natural,GJ,CC Noreste,47.286588,,
03/01/2026,Gas Natural,GJ,CC Noreste,47.413986,,
04/01/2026,Gas Natural,GJ,CC Noreste,47.413986,,
05/01/2026,Gas Natural,GJ,CC Noreste,47.413986,,
06/01/2026,Gas Natural,GJ,CC Noreste,39.692484,,
07/01/2026,Gas Natural,GJ,CC Noreste,45.373986,,
08/01/2026,Gas Natural,GJ,CC Noreste,48.840354,,
09/01/2026,Gas Natural,GJ,CC Noreste,54.102738,,
10/01/2026,Gas Natural,GJ,CC Noreste,49.585566,,
11/01/2026,Gas Natural,GJ,CC Noreste,49.585566,,
12/01/2026,Gas Natural,GJ,CC Noreste,49.585566,,
13/01/2026,Gas Natural,GJ,CC Noreste,51.282336,,
14/01/2026,Gas Natural,GJ,CC Noreste,56.93028,,
15/01/2026,Gas Natural,GJ,CC Noreste,,,
16/01/2026,Gas Natural,GJ,CC Noreste,,,
17/01/2026,Gas Natural,GJ,CC Noreste,,,
18/01/2026,Gas Natural,GJ,CC Noreste,,,
19/01/2026,Gas Natural,GJ,CC Noreste,,,
20/01/2026,Gas Natural,GJ,CC Noreste,,,
21/01/2026,Gas Natural,GJ,CC Noreste,,,
22/01/2026,Gas Natural,GJ,CC Noreste,,,
23/01/2026,Gas Natural,GJ,CC Noreste,,,
24/01/2026,Gas Natural,GJ,CC Noreste,,,
25/01/2026,Gas Natural,GJ,CC Noreste,,,
26/01/2026,Gas Natural,GJ,CC Noreste,,,
27/01/2026,Gas Natural,GJ,CC Noreste,,,
28/01/2026,Gas Natural,GJ,CC Noreste,,,
29/01/2026,Gas Natural,GJ,CC Noreste,,,
30/01/2026,Gas Natural,GJ,CC Noreste,,,
31/01/2026,Gas Natural,GJ,,,,
